"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","LANDBIRD"
"","COWO","","Cocoa Woodcreeper","Xiphorhynchus susurrans","XIPSUS","",TRUE
"","IBIW","*","Ivory-billed Woodcreeper","Xiphorhynchus flavigaster","XIPFLA","",TRUE
"","BSWO","","Black-striped Woodcreeper","Xiphorhynchus lachrymosus","XIPLAC","",TRUE
"","SPWO","","Spotted Woodcreeper","Xiphorhynchus erythropygius","XIPERY","",TRUE
"","SGBW","*","Straight-billed Woodcreeper","Dendroplex picus","DENPIS","*",TRUE
"","RBSC","","Red-billed Scythebill","Campylorhamphus trochilirostris","CAMTRO","",TRUE
"","BBSC","","Brown-billed Scythebill","Campylorhamphus pusillus","CAMPUS","",TRUE
"","WSWO","","White-striped Woodcreeper","Lepidocolaptes leucogaster","LEPLEU","",TRUE
"","SHWO","","Streak-headed Woodcreeper","Lepidocolaptes souleyetii","LEPSOU","",TRUE
"","SCRW","*","Spot-crowned Woodcreeper","Lepidocolaptes affinis","LEPAFF","",TRUE
"","PLXE","","Plain Xenops","Xenops minutus","XENMIT","*",TRUE
"","STXE","","Streaked Xenops","Xenops rutilans","XENRUT","",TRUE
"","BUTU","","Buffy Tuftedcheek","Pseudocolaptes lawrencii","PSELAW","",TRUE
"","STST","","Sharp-tailed Streamcreeper","Lochmias nematura","LOCNEM","",TRUE
"","SWFG","","Slaty-winged Foliage-gleaner","Philydor fuscipenne","PHIFUS","",TRUE
"","BFFG","","Buff-fronted Foliage-gleaner","Dendroma rufa","DENRUF","",TRUE
"","STFG","","Scaly-throated Foliage-gleaner","Anabacerthia variegaticeps","ANAVAR","",TRUE
"","LIFG","","Lineated Foliage-gleaner","Syndactyla subalaris","SYNSUB","",TRUE
"","RUFG","","Ruddy Foliage-gleaner","Clibanornis rubiginosus","CLIRUB","",TRUE
"","SBTR","","Streak-breasted Treehunter","Thripadectes rufobrunneus","THRRUB","*",TRUE
"","BTFG","","Buff-throated Foliage-gleaner","Automolus ochrolaemus","AUTOCH","",TRUE
"","CHFG","","Chiriqui Foliage-gleaner","Automolus exsertus","AUTEXS","",TRUE
"","STPW","*","Striped Woodhaunter","Automolus subulatus","AUTSUB","",TRUE
"","SPBA","","Spotted Barbtail","Premnoplex brunnescens","PREBRU","",TRUE
"","BETR","","Beautiful Treerunner","Margarornis bellulus","MARBEL","",TRUE
"","RUTR","","Ruddy Treerunner","Margarornis rubiginosus","MARRUB","",TRUE
"","DBGR","","Double-banded Graytail","Xenerpestes minlosi","XENMIL","*",TRUE
"","RFSP","","Red-faced Spinetail","Cranioleuca erythrops","CRAERY","",TRUE
"","COSP","","Coiba Spinetail","Cranioleuca dissita","CRADIS","",TRUE
"","PBSP","","Pale-breasted Spinetail","Synallaxis albescens","SYNALB","",TRUE
"","SLSP","","Slaty Spinetail","Synallaxis brachyura","SYNBRA","",TRUE
